Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Link6^Left,0.0232557302726686,-9.38138455808257E-14,-3.0408451333696E-13,0,0,0,0.0417035457892054,3.14349591325787E-05,-2.97889653092607E-17,-4.81935524417749E-17,2.60592969260132E-05,2.24812181444216E-19,2.60592969260132E-05,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link6^Left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link6^Left.STL,,Link6^Left_0725-1,坐标系5_1_3^Left,基准轴5_1_3^Left,Joint5_1_3^Left,revolute,0.008,-0.0175,0,-1.5708,0,0,Link5_1_3^Left,0,0,1,0,0,0,0,,,,,,,,
Link7^Left,-0.000127216818958054,-0.000127216818957863,-0.00424602437056609,0,0,0,0.0075592616628146,1.00078551361008E-06,5.38360458423543E-09,-7.250721413718E-10,1.00078551361008E-06,-7.25072141374419E-10,1.72487812071293E-06,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link7^Left.STL,1,1,1,1,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link7^Left.STL,,Link7^Left_0725-1,坐标系6^Left,基准轴6^Left,Joint6^Left,revolute,0.0595,0,0,-1.5708,0,-1.5708,Link6^Left,0,0,1,0,0,0,0,,,,,,,,
Link5_2_1^Left,-0.00427351880708443,-3.26507809360775E-05,-0.0183750350348137,0,0,0,0.00124082856776644,3.52923836371249E-08,4.93234873224715E-10,-1.79808417103694E-09,4.90854967426093E-08,3.49032179950442E-11,7.99945931271202E-08,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link5_2_1^Left.STL,1,1,1,1,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link5_2_1^Left.STL,,Link5_2_1^Left_0725-1,坐标系4_2^Left,基准轴4_2^Left,Joint4_2^Left,revolute,0.163,0,0,0,0,0,Link4^Left,0,0,1,0,0,0,0,,,,,,,,
Link5_2_2^Left,0.0234999997381593,-0.017499999868829,-0.0108992744301091,0,0,0,0.00144499140546944,2.35270805734516E-07,2.24047465654997E-07,-1.6293811606216E-15,2.73573257443076E-07,1.09156494262047E-15,4.69310065255636E-07,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link5_2_2^Left.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link5_2_2^Left.STL,,Link5_2_2^Left_0725-1,坐标系5_2_1^Left,基准轴5_2_1^Left,Joint5_2_1^Left,revolute,0.008,0,-0.0175,-1.5708,0,0,Link5_2_1^Left,0,0,1,0,0,0,0,,,,,,,,
Link5_2_3^Left,0.0032934469752226,-0.000476060151514412,-0.0001351263344736,0,0,0,0.000834428372209605,4.86473618565064E-09,1.12111246024973E-09,-3.7134028857007E-10,1.5109160717644E-08,5.36763808160346E-11,1.51246610871198E-08,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link5_2_3^Left.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link5_2_3^Left.STL,,Link5_2_3^Left_0725-1,坐标系5_2_2^Left,基准轴5_2_2^Left,Joint5_2_2^Left,revolute,0.047,-0.035,0,0,0,0,Link5_2_2^Left,0,0,-1,0,0,0,0,,,,,,,,
Link0^Right,-2.1253E-05,-0.078315,1.5546,0,0,0,0.45787,0.00076025,2.3056E-07,-1.2022E-09,0.00098087,6.1179E-05,0.0005114,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link0^Right.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link0^Right.STL,,Link0^Right_0725-1,坐标系base,基准轴0^Right,JointFixed^Right,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Link1^Right,-3.62759674142898E-05,-0.0974980393957909,0.129114060758625,0,0,0,0.353625837198998,0.00106579163167545,-4.12416512560607E-07,3.998455915899E-07,0.00103565102252782,0.000295739168980057,0.000399027697986509,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link1^Right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link1^Right.STL,,Link1^Right_0725-1,坐标系0^Right,基准轴0^Right,Joint0^Right,revolute,0,-0.1065,1.575,1.5708,1.5708,0,Link0^Right,0,0,-1,0,0,0,0,,,,,,,,
Link2^Right,-0.00843013322694097,0.0379353166154636,0.0628673064495599,0,0,0,0.223743403258335,0.00089339964309517,-3.36093256678985E-05,2.12507423284571E-05,0.000310040373915946,5.71206643065207E-05,0.000649243215634124,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link2^Right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link2^Right.STL,,Link2^Right_0725-1,坐标系1^Right,基准轴1^Right,Joint1^Right,revolute,0,-0.08,0.1475,-1.5708,0,0,Link1^Right,0,0,1,0,0,0,0,,,,,,,,
Link3^Right,-0.0120070353841584,-0.00267789172048688,0.0483825530967675,0,0,0,0.555672776550319,0.00103017461488456,5.726239060917E-07,-2.35210741222277E-05,0.000962186285905757,-6.26929542908423E-06,0.000370325029161221,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link3^Right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link3^Right.STL,,Link3^Right_0725-1,坐标系2^Right,基准轴2^Right,Joint2^Right,revolute,0,0,0.08,-1.5708,0,-1.5708,Link2^Right,0,0,-1,0,0,0,0,,,,,,,,
Link3_2^Right,0.0350124601129458,-0.00114042227372866,-0.00310728421311582,0,0,0,0.0556281886965301,2.80612807689171E-05,-8.26249564776348E-10,-4.17128865499958E-12,9.40930615152837E-05,-7.75844048573491E-11,0.000122091774808248,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link3_2^Right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link3_2^Right.STL,,Link3_2^Right_0725-1,坐标系3^Right,基准轴3^Right,Joint3^Right,revolute,0,0,0.26454,0,-1.5708,0,Link3^Right,0,0,1,0,0,0,0,,,,,,,,
Link4^Right,0.0418028086017087,-0.00152141986256852,0.0131182158750023,0,0,0,0.107211826057053,9.64597213773647E-05,-1.00918153038134E-05,1.71250647147986E-06,0.000117569390050357,1.62845584448437E-06,0.000135080560928551,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link4^Right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link4^Right.STL,,Link4^Right_0725-1,坐标系3_2^Right,基准轴3_2^Right,Joint3_2^Right,revolute,0.07,0,0,0,0,0,Link3_2^Right,0,0,1,0,0,0,0,,,,,,,,
Link5_1_1^Right,-0.00427351880708221,-3.26507806659021E-05,-0.0183750350350789,0,0,0,0.00124082856776645,3.52923836371243E-08,4.93234873227788E-10,-1.79808417105001E-09,4.90854967426085E-08,3.4903217995533E-11,7.99945931271165E-08,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link5_1_1^Right.STL,1,1,1,1,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link5_1_1^Right.STL,,Link5_1_1^Right_0725-1,坐标系4_1^Right,基准轴4_1^Right,Joint4_1^Right,revolute,0.163,0,0,-1.5708,0,0,Link4^Right,0,0,1,0,0,0,0,,,,,,,,
Link5_1_2^Right,0.0234999997381501,0.0174999998688375,0.0108992720456726,0,0,0,0.00144499140546942,2.35270805734646E-07,-2.24047465655004E-07,1.62931010327681E-15,2.73573257442937E-07,1.09149698265819E-15,4.69310065255627E-07,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link5_1_2^Right.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link5_1_2^Right.STL,,Link5_1_2^Right_0725-1,坐标系5_1_1^Right,基准轴5_1_1^Right,Joint5_1_1^Right,revolute,0.008,0,-0.0175,1.5708,0,0,Link5_1_1^Right,0,0,-1,0,0,0,0,,,,,,,,
Link5_1_3^Right,0.00329344697522144,0.000476060151516557,0.000135123950044856,0,0,0,0.000834428372209604,4.86473618565109E-09,-1.12111246025281E-09,3.7134028856694E-10,1.51091607176433E-08,5.36763808158074E-11,1.512466108712E-08,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link5_1_3^Right.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link5_1_3^Right.STL,,Link5_1_3^Right_0725-1,坐标系5_1_2^Right,基准轴5_1_2^Right,Joint5_1_2^Right,revolute,0.047,0.035,0,0,0,0,Link5_1_2^Right,0,0,1,0,0,0,0,,,,,,,,
Link6^Right,0.0232557302726686,-9.39040512015765E-14,-2.85200768138038E-13,0,0,0,0.0417035457892057,3.14349591325788E-05,-2.98053419686006E-17,-4.81929959266416E-17,2.60592969260133E-05,2.03906483931542E-19,2.60592969260133E-05,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link6^Right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link6^Right.STL,,Link6^Right_0725-1,坐标系5_1_3^Right,基准轴5_1_3^Right,Joint5_1_3^Right,revolute,0.008,-0.0175,0,-1.5708,0,0,Link5_1_3^Right,0,0,1,0,0,0,0,,,,,,,,
Link7^Right,0.000127216818957873,-0.000127216818957917,-0.00424602437056637,0,0,0,0.00755926166281458,1.00078551361008E-06,-5.38360458423541E-09,7.25072141375515E-10,1.00078551361008E-06,-7.25072141371973E-10,1.72487812071293E-06,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link7^Right.STL,1,1,1,1,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link7^Right.STL,,Link7^Right_0725-1,坐标系6^Right,基准轴6^Right,Joint6^Right,revolute,0.0595,0,0,-1.5708,0,-1.5708,Link6^Right,0,0,1,0,0,0,0,,,,,,,,
Link5_2_1^Right,-0.00427351880708704,3.26507802739591E-05,0.0183750350348151,0,0,0,0.00124082856776633,3.52923836371221E-08,-4.93234873235071E-10,1.79808417103665E-09,4.90854967426065E-08,3.49032179967238E-11,7.99945931271152E-08,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link5_2_1^Right.STL,1,1,1,1,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link5_2_1^Right.STL,,Link5_2_1^Right_0725-1,坐标系4_2^Right,基准轴4_2^Right,Joint4_2^Right,revolute,0.163,0,0,0,0,0,Link4^Right,0,0,-1,0,0,0,0,,,,,,,,
Link5_2_2^Right,0.0234999997381561,0.0174999998688287,0.0108992696616167,0,0,0,0.00144499140546938,2.35270805734499E-07,-2.24047465654982E-07,1.62931252253403E-15,2.73573257443059E-07,1.09149936825338E-15,4.69310065255605E-07,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link5_2_2^Right.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link5_2_2^Right.STL,,Link5_2_2^Right_0725-1,坐标系5_2_1^Right,基准轴5_2_1^Right,Joint5_2_1^Right,revolute,0.008,0,0.0175,-1.5708,0,0,Link5_2_1^Right,0,0,-1,0,0,0,0,,,,,,,,
Link5_2_3^Right,0.00329344697522205,0.000476060151513767,0.000135121565770942,0,0,0,0.000834428372209604,4.86473618564998E-09,-1.12111246024977E-09,3.71340288560897E-10,1.5109160717644E-08,5.3676380815035E-11,1.51246610871205E-08,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link5_2_3^Right.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://511ArmURDF_0727/meshes/Link5_2_3^Right.STL,,Link5_2_3^Right_0725-1,坐标系5_2_2^Right,基准轴5_2_2^Right,Joint5_2_2^Right,revolute,0.047,0.035,0,0,0,0,Link5_2_2^Right,0,0,1,0,0,0,0,,,,,,,,
