t,Joint1^Left,Joint2^Left,Joint3^Left,Joint3_2^Left,Joint5_1_1^Left,Joint5_2_1^Left,Joint7^Left,thumb_1_left,thumb_2_left,thumb_3_left,index_1_left,index_2_left,middle_1_left,middle_2_left,ring_1_left,ring_2_left,little_1_left,little_2_left,Joint1^Right,Joint2^Right,Joint3^Right,Joint3_2^Right,Joint5_1_1^Right,Joint5_2_1^Right,Joint7^Right,thumb_1_right,thumb_2_right,thumb_3_right,index_1_right,index_2_right,middle_1_right,middle_2_right,ring_1_right,ring_2_right,little_1_right,little_2_right
0.0,0.3789,0.0,0.0,0.1952,0.0,0.0,0.0,-0.1716,-0.1716,-0.209,0.0,0.0,-0.3574,-0.3574,-0.3574,-0.3574,-0.3574,-0.3574,0.3789,0.0,0.0,0.1952,0.0,0.0,0.0,-0.3384,-0.1251,-0.305,0.0,0.0,-0.2955,-0.3741,-0.3574,-0.3574,-0.3574,-0.3574
0.0,0.3831,0.0,0.0,0.1974,0.0,0.0,0.0,-0.1735,-0.1735,-0.2113,0.0,0.0,-0.3615,-0.3615,-0.3615,-0.3615,-0.3615,-0.3615,0.3831,0.0,0.0,0.1974,0.0,0.0,0.0,-0.3422,-0.1265,-0.3084,0.0,0.0,-0.2988,-0.3783,-0.3615,-0.3615,-0.3615,-0.3615
0.0,0.3874,0.0,0.0,0.1996,0.0,0.0,0.0,-0.1754,-0.1754,-0.2137,0.0,0.0,-0.3655,-0.3655,-0.3655,-0.3655,-0.3655,-0.3655,0.3874,0.0,0.0,0.1996,0.0,0.0,0.0,-0.346,-0.1279,-0.3119,0.0,0.0,-0.3021,-0.3826,-0.3655,-0.3655,-0.3655,-0.3655
0.0,0.3917,0.0,0.0,0.2018,0.0,0.0,0.0,-0.1774,-0.1774,-0.2161,0.0,0.0,-0.3696,-0.3696,-0.3696,-0.3696,-0.3696,-0.3696,0.3917,0.0,0.0,0.2018,0.0,0.0,0.0,-0.3499,-0.1293,-0.3154,0.0,0.0,-0.3055,-0.3868,-0.3696,-0.3696,-0.3696,-0.3696
0.0,0.3961,0.0,0.0,0.204,0.0,0.0,0.0,-0.1793,-0.1793,-0.2185,0.0,0.0,-0.3736,-0.3736,-0.3736,-0.3736,-0.3736,-0.3736,0.3961,0.0,0.0,0.204,0.0,0.0,0.0,-0.3537,-0.1308,-0.3188,0.0,0.0,-0.3089,-0.3911,-0.3736,-0.3736,-0.3736,-0.3736
0.0,0.4004,0.0,0.0,0.2062,0.0,0.0,0.0,-0.1813,-0.1813,-0.2208,0.0,0.0,-0.3777,-0.3777,-0.3777,-0.3777,-0.3777,-0.3777,0.4004,0.0,0.0,0.2062,0.0,0.0,0.0,-0.3576,-0.1322,-0.3223,0.0,0.0,-0.3123,-0.3954,-0.3777,-0.3777,-0.3777,-0.3777
0.0,0.4047,0.0,0.0,0.2085,0.0,0.0,0.0,-0.1833,-0.1833,-0.2232,0.0,0.0,-0.3818,-0.3818,-0.3818,-0.3818,-0.3818,-0.3818,0.4047,0.0,0.0,0.2085,0.0,0.0,0.0,-0.3615,-0.1336,-0.3258,0.0,0.0,-0.3157,-0.3997,-0.3818,-0.3818,-0.3818,-0.3818
0.0,0.4091,0.0,0.0,0.2107,0.0,0.0,0.0,-0.1853,-0.1853,-0.2257,0.0,0.0,-0.386,-0.386,-0.386,-0.386,-0.386,-0.386,0.4091,0.0,0.0,0.2107,0.0,0.0,0.0,-0.3654,-0.1351,-0.3293,0.0,0.0,-0.3191,-0.404,-0.386,-0.386,-0.386,-0.386
0.0,0.4135,0.0,0.0,0.213,0.0,0.0,0.0,-0.1872,-0.1872,-0.2281,0.0,0.0,-0.3901,-0.3901,-0.3901,-0.3901,-0.3901,-0.3901,0.4135,0.0,0.0,0.213,0.0,0.0,0.0,-0.3693,-0.1365,-0.3329,0.0,0.0,-0.3225,-0.4083,-0.3901,-0.3901,-0.3901,-0.3901
0.0,0.4179,0.0,0.0,0.2153,0.0,0.0,0.0,-0.1892,-0.1892,-0.2305,0.0,0.0,-0.3942,-0.3942,-0.3942,-0.3942,-0.3942,-0.3942,0.4179,0.0,0.0,0.2153,0.0,0.0,0.0,-0.3732,-0.138,-0.3364,0.0,0.0,-0.3259,-0.4126,-0.3942,-0.3942,-0.3942,-0.3942
0.0,0.4223,0.0,0.0,0.2175,0.0,0.0,0.0,-0.1912,-0.1912,-0.2329,0.0,0.0,-0.3984,-0.3984,-0.3984,-0.3984,-0.3984,-0.3984,0.4223,0.0,0.0,0.2175,0.0,0.0,0.0,-0.3772,-0.1394,-0.34,0.0,0.0,-0.3293,-0.417,-0.3984,-0.3984,-0.3984,-0.3984
0.0,0.4267,0.0,0.0,0.2198,0.0,0.0,0.0,-0.1932,-0.1932,-0.2354,0.0,0.0,-0.4026,-0.4026,-0.4026,-0.4026,-0.4026,-0.4026,0.4267,0.0,0.0,0.2198,0.0,0.0,0.0,-0.3811,-0.1409,-0.3435,0.0,0.0,-0.3328,-0.4214,-0.4026,-0.4026,-0.4026,-0.4026
0.0,0.4312,0.0,0.0,0.2221,0.0,0.0,0.0,-0.1953,-0.1953,-0.2378,0.0,0.0,-0.4068,-0.4068,-0.4068,-0.4068,-0.4068,-0.4068,0.4312,0.0,0.0,0.2221,0.0,0.0,0.0,-0.3851,-0.1424,-0.3471,0.0,0.0,-0.3363,-0.4258,-0.4068,-0.4068,-0.4068,-0.4068
0.0,0.4356,0.0,0.0,0.2244,0.0,0.0,0.0,-0.1973,-0.1973,-0.2403,0.0,0.0,-0.411,-0.411,-0.411,-0.411,-0.411,-0.411,0.4356,0.0,0.0,0.2244,0.0,0.0,0.0,-0.3891,-0.1438,-0.3507,0.0,0.0,-0.3397,-0.4302,-0.411,-0.411,-0.411,-0.411
